NTACode;Language_Top;Language_PCT_Top;Language_PCT_MOE_Top;Language_Second;Language_PCT_Second;Language_PCT_MOE_Second;Language_Third;Language_PCT_Third;Language_PCT_MOE_Third;Language_Fourth;Language_PCT_Fourth;Language_PCT_MOE_Fourth;Language_Fifth;Language_PCT_Fifth;Language_PCT_MOE_Fifth
BK09;"Spanish- Speak English Less Than ""Very Well"" PCT";0.015;0.9;"Chinese-Speak English Less Than ""Very Well"" PCT";0.006;0.4;"Polish-Speak English Less than ""Very Well"" PCT";0.004;0.4;"Korean-Speak English Less Than ""Very Well"" PCT";0.003;0.2;"Greek-Speak English Less Than ""Very Well"" PCT";0.2;
BK23;"Russian-Speak English Less Than ""Very Well"" PCT";0.448;3.5;"Yiddish-Speak English Less than ""very Well"" PCT";0.009;0.7;"Other Slavic languages-Speak English Less Than ""Very Well"" PCT";0.005;0.4;"Spanish- Speak English Less Than ""Very Well"" PCT";0.003;0.3;"Spanish- Speak English Less Than ""Very Well"" PCT";0.003;
BK17;"Russian-Speak English Less Than ""Very Well"" PCT";0.181;1.3;"Chinese-Speak English Less Than ""Very Well"" PCT";0.062;1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.014;0.5;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.009;0.4;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";1;0.5
BK21;"Russian-Speak English Less Than ""Very Well"" PCT";0.138;1.4;"Spanish- Speak English Less Than ""Very Well"" PCT";0.079;1.7;"Chinese-Speak English Less Than ""Very Well"" PCT";0.065;1.2;"French Creole-Speak English Less than ""Very Well"" PCT";0.006;0.4;"French Creole-Speak English Less than ""Very Well"" PCT";0.006;0.8
BK28;"Chinese-Speak English Less Than ""Very Well"" PCT";0.231;1.4;"Spanish- Speak English Less Than ""Very Well"" PCT";0.073;1.2;"Russian-Speak English Less Than ""Very Well"" PCT";0.071;0.8;"Italian-Speak English Less Than ""Very Well"" PCT";0.033;0.4;"Other Indo-European languages-Speak English Less ""Very Well'' PCT";0.016;0.4
BK25;"Russian-Speak English Less Than ""Very Well"" PCT";0.126;1.4;"Chinese-Speak English Less Than ""Very Well"" PCT";0.043;1.1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.036;1.1;"Arabic-Speak English Less Than ""Very Well"" PCT";0.027;0.6;"Other Asian Language- Speak English Less Than ""Very Well"" PCT";0.013;0.6
BK29;"Chinese-Speak English Less Than ""Very Well"" PCT";0.226;1.8;"Russian-Speak English Less Than ""Very Well"" PCT";0.113;1.2;"Spanish- Speak English Less Than ""Very Well"" PCT";0.057;1.1;"Italian-Speak English Less Than ""Very Well"" PCT";0.033;0.6;"Arabic-Speak English Less Than ""Very Well"" PCT";0.012;0.6
BK30;"Chinese-Speak English Less Than ""Very Well"" PCT";0.247;2;"Spanish- Speak English Less Than ""Very Well"" PCT";0.033;1.1;"Italian-Speak English Less Than ""Very Well"" PCT";0.029;0.6;"Arabic-Speak English Less Than ""Very Well"" PCT";0.017;0.6;"Greek-Speak English Less Than ""Very Well"" PCT";0.012;0.6
BK27;"Chinese-Speak English Less Than ""Very Well"" PCT";0.192;2.2;"Russian-Speak English Less Than ""Very Well"" PCT";0.075;1.1;"Spanish- Speak English Less Than ""Very Well"" PCT";0.065;2;"Italian-Speak English Less Than ""Very Well"" PCT";0.026;0.7;"Urdu-Speak Urdu Less Than ""Very Well"" PCT";0.011;0.4
BK26;"Russian-Speak English Less Than ""Very Well"" PCT";0.143;1.8;"Chinese-Speak English Less Than ""Very Well"" PCT";0.127;2.4;"Spanish- Speak English Less Than ""Very Well"" PCT";0.051;1.5;"Italian-Speak English Less Than ""Very Well"" PCT";0.025;0.8;"Other Slavic languages-Speak English Less Than ""Very Well"" PCT";0.011;0.6
